species,average_precision_autogluon,average_precision_linear_probe,auroc_autogluon,auroc_linear_probe,delta_ap
Eurystomus orientalis,0.5415881600205633,0.3122430919833239,0.9921941014995181,0.9955649342048168,0.22934506803723942
Ciconia ciconia,0.4272399780427219,0.30306461280812924,0.9912741373614824,0.9889073245442805,0.12417536523459266
Streptopelia chinensis,0.685024451075752,0.6000071735857901,0.9985120888910886,0.9982213120839416,0.0850172774899619
Acrocephalus arundinaceus,0.7207407702387966,0.650519464369695,0.9978525283496084,0.9981806142961961,0.07022130586910158
Chloropsis cochinchinensis,0.591390103990087,0.5232815666902146,0.9912576575712551,0.9902294785552744,0.06810853729987232
Cettia cetti,0.5996700238658015,0.5352749224222972,0.9893502807892129,0.9837983122616295,0.06439510144350424
Pelargopsis capensis,0.5301490862010683,0.47311516464076625,0.9907910137200079,0.9893157877625334,0.057033921560302014
Carduelis carduelis,0.2464056487703433,0.19130609540350527,0.9664186007908828,0.9674845808960457,0.05509955336683803
Lullula arborea,0.5991303327522991,0.5448061968883087,0.9684081117999369,0.987260691394347,0.05432413586399043
Pellorneum rostratum,0.5236211567726252,0.4705854103415287,0.9845143732826042,0.983981980553794,0.05303574643109654
Rhipidura javanica,0.7363593129739661,0.6883375236176263,0.998837865490466,0.9983790400501025,0.04802178935633972
Saltator coerulescens,0.3887595476240735,0.3407608551441799,0.9866629339998515,0.9954867727486452,0.04799869247989358
Cacomantis merulinus,0.6745283997883293,0.6280317778443822,0.9968511967880589,0.9975122565883379,0.0464966219439471
Copsychus saularis,0.5968428047433523,0.5505824801977313,0.9941409271386583,0.993339091424741,0.04626032454562101
Cinnyris bouvieri,0.6537910256274503,0.6076286360450539,0.9934233360555328,0.9936215462093372,0.04616238958239638
Cinnyris reichenowi,0.6025616330913707,0.5572690073830989,0.9932233292639704,0.9921175127003505,0.04529262570827175
Campylorhynchus turdinus,0.9165404111049151,0.8715163582270903,0.9995558360801365,0.9993395983823083,0.04502405287782485
Spinus spinus,0.7231858380376663,0.679365667345728,0.995615651990731,0.9943516958078786,0.04382017069193833
Psilopogon haemacephalus,0.8699739405589869,0.8267464858822485,0.9986483840848167,0.9984601367428692,0.043227454676738386
Synallaxis albilora,0.6525905589136517,0.6151020692654883,0.9815345526930445,0.9944583652177392,0.037488489648163426
Dysithamnus mentalis,0.4520264483472693,0.4159289240407405,0.9893590510366825,0.9907850434166224,0.036097524306528794
Oreolais pulcher,0.5108392621011297,0.4772831698081301,0.9929706700468293,0.9917242350621457,0.033556092292999606
Acrocephalus scirpaceus,0.6471642906585677,0.6166273412139627,0.9970902297503854,0.9974675217184735,0.030536949444605055
Basileuterus culicivorus,0.32309957217309726,0.29358244973131775,0.9941076555862548,0.9930368996516856,0.02951712244177951
Mixornis gularis,0.7853258089306691,0.7567571434985826,0.9882374166347535,0.9868087819822683,0.02856866543208647
Emberiza calandra,0.7644779605244935,0.7373734192176886,0.9833729891570245,0.9847454012486357,0.02710454130680484
Crithagra burtoni,0.6233652981830882,0.5970361856715619,0.9921924020065053,0.9940035476748484,0.026329112511526254
Thamnophilus caerulescens,0.7546704238204458,0.7292908474110295,0.9971704260651629,0.9969323308270677,0.02537957640941635
Motacilla flava,0.9611916855059851,0.9358939771275301,0.9999039426991013,0.9998078853982029,0.02529770837845502
Erythropitta granatina,0.9125913225047947,0.887754700944827,0.9996618306700308,0.9995899915895711,0.024836621559967687
Pellorneum malaccense,0.6293172356751674,0.6052358816315142,0.9781493404169105,0.9770581018414298,0.02408135404365319
Alauda arvensis,0.6154813934994446,0.5924342257072178,0.9965857092573038,0.9954666783996245,0.02304716779222682
Psilopogon faiostrictus,0.8602551741130741,0.8394443706371464,0.9984870454842965,0.9984203345114743,0.020810803475927675
Aegithina viridissima,0.5295888107822511,0.5107660997077573,0.9692065604691659,0.9700410230495141,0.018822711074493736
Oriolus oriolus,0.4899275493910773,0.4729878674844178,0.9893423639088379,0.9881123372452852,0.01693968190665951
Hypothymis azurea,0.6214470127020438,0.6055987990965729,0.9957666970891816,0.9956792075034251,0.01584821360547095
Laniarius atroflavus,0.8105571254664258,0.7948489331562707,0.9947357248991722,0.9957227764805774,0.015708192310155078
Luscinia megarhynchos,0.7565571944135128,0.7410766277758671,0.9784780173300717,0.9790258693614394,0.015480566637645632
Pogoniulus bilineatus,0.8809980662053325,0.8655889449076298,0.9925605761484289,0.992127228325644,0.015409121297702666
Aethopyga siparaja,0.5481425637953861,0.5350001039291342,0.9938255088809763,0.9940848375079754,0.013142459866251843
Baryphthengus ruficapillus,0.9076017400176872,0.8945567235962597,0.9989915662429948,0.9987225742646789,0.013045016421427524
Sylvia abyssinica,0.6712247706930948,0.6586621515736081,0.9973731217820742,0.9967594830303667,0.012562619119486751
Camaroptera chloronota,0.6915525262168924,0.6794748932672197,0.9960614692126456,0.9966408619220097,0.01207763294967279
Apalis cinerea,0.5799920953645967,0.56841803431504,0.9925477901395555,0.9926254751269317,0.011574061049556716
Dicaeum trigonostigma,0.4911918174695438,0.4800099515667482,0.9664810871092433,0.9614909948366406,0.011181865902795629
Passer domesticus,0.3953637638960885,0.38465515607804024,0.9800958282036407,0.9794686916354305,0.010708607818048277
Pericrocotus speciosus,0.45222337675201474,0.44219333493454493,0.9941673688645459,0.9946962116424408,0.010030041817469804
Cyornis rufigastra,0.8452772328471185,0.8377628472993466,0.9877110519126509,0.9869946388961083,0.007514385547771951
Dendrocopos major,0.7736336968447176,0.7664059576475483,0.9968832262819838,0.9968036689948873,0.007227739197169347
Psilopogon duvaucelii,0.7498923553834639,0.7431670880440415,0.9814766218703399,0.9781395119723072,0.006725267339422358
Illadopsis albipectus,0.4521198804733565,0.44731413891497196,0.991152616449607,0.9907969611639095,0.004805741558384535
Turdus rufiventris,0.33685781318955843,0.3333728205240394,0.9909333904556122,0.9906741670702479,0.003484992665519049
Spilornis cheela,0.8091193067990945,0.8064096310755225,0.9987284034611956,0.9987676916737737,0.002709675723571947
Alophoixus ochraceus,0.781940369495373,0.7796261939790398,0.9971614802354921,0.9975399495374264,0.0023141755163332833
Pitta sordida,0.6620682282899127,0.6605744613205486,0.9971817400871099,0.9968987419140388,0.0014937669693640965
