frac,autogluon,linear_probe,delta_accuracy_ag_minus_lp
0.1,0.7663043478260869,0.8324275362318841,-0.06612318840579723
0.25,0.8478260869565218,0.8913043478260869,-0.04347826086956508
0.5,0.8677536231884058,0.9067028985507246,-0.03894927536231885
1.0,0.904891304347826,0.9211956521739131,-0.01630434782608703
