target_pos,model,mAP,macro_AUROC
1000,autogluon,0.8156945644777291,0.9833371534600102
1000,linear_probe,0.802331115177017,0.9815177251633043
2500,autogluon,0.8315276684262571,0.9849777521598988
2500,linear_probe,0.8198757483998215,0.983408299764494
5000,autogluon,0.8375627164881949,0.9857864024154296
5000,linear_probe,0.8222162168792078,0.9837050952248463
