species,autogluon,linear_probe,delta_auroc
Turdus merula,0.9785955992045725,0.9742403652511497,0.004355233953422855
Dicrurus paradiseus,0.9884463716697874,0.984341644492625,0.004104727177162482
Malacopteron magnirostre,0.9968382646208128,0.9936055763683984,0.0032326882524144063
Stachyris maculata,0.995005543441489,0.9921369101649857,0.0028686332765032185
Fringilla coelebs,0.9834167609796236,0.9809365395438896,0.002480221435734009
Luscinia megarhynchos,0.9868392624431286,0.9859893344612359,0.0008499279818926508
Sylvia atricapilla,0.9832739079913756,0.9835404666553678,-0.0002665586639921669
Erithacus rubecula,0.9738755089726473,0.9748499248611182,-0.0009744158884709142
