frac,model,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_n_train
0.1,autogluon,0.7663043478260869,0.009413319606352555,0.681009986849742,0.021444122608286913,144.0
0.1,linear_probe,0.8324275362318841,0.01255109280847011,0.7794475667122315,0.014456535387742551,144.0
0.25,autogluon,0.8478260869565218,0.02051585444367049,0.7955639640974465,0.019603988158551383,363.0
0.25,linear_probe,0.8913043478260869,0.009413319606352579,0.8586415356353241,0.010022775994852618,363.0
0.5,autogluon,0.8677536231884058,0.019086329262414412,0.8309678564333263,0.023293612910386525,728.0
0.5,linear_probe,0.9067028985507246,0.0015688866010588126,0.8871047732173079,0.0016252960236894183,728.0
1.0,autogluon,0.904891304347826,,0.8880189413738527,,1456.0
1.0,linear_probe,0.9211956521739131,,0.9072122763852648,,1456.0
