target_pos,autogluon,linear_probe,delta_mAP_ag_minus_lp
5,0.3628589691549386,0.4394403709451214,-0.0765814017901828
25,0.48928136900481717,0.5158918731752583,-0.02661050417044114
100,0.6266199904459224,0.6448846816171703,-0.01826469117124785
