species,autogluon,linear_probe,delta_ap
Dicrurus paradiseus,0.8527416551152627,0.7720609146665827,0.08068074044868001
Turdus merula,0.8185383089020889,0.7901208277080577,0.028417481194031202
Malacopteron magnirostre,0.9671805033851083,0.9427627963674815,0.0244177070176268
Stachyris maculata,0.9353844630307951,0.9175574364752119,0.017827026555583214
Fringilla coelebs,0.8764576835233856,0.8633589073341879,0.013098776189197747
Sylvia atricapilla,0.80310058215393,0.7924045737584549,0.010696008395475132
Luscinia megarhynchos,0.7812518601825987,0.7921805312133315,-0.010928671030732806
Erithacus rubecula,0.6658466756123897,0.7072837475103536,-0.04143707189796386
