species,target_pos,n_train,n_train_pos,n_test_pos,n_test,model,accuracy,f1,average_precision,auroc
Aegithina lafresnayei,25,100,25,29,9542,autogluon,0.9813456298469923,0.20535714285714285,0.16397654879994153,0.9889715344156997
Aegithina lafresnayei,100,400,100,29,9542,linear_probe,0.9764200377279396,0.2049469964664311,0.186658176100437,0.9918913138826361
Aegithina lafresnayei,100,400,100,29,9542,autogluon,0.9727520435967303,0.18238993710691823,0.17157236057712436,0.9914146521819507
Aegithina tiphia,5,20,5,19,9542,linear_probe,0.977363236218822,0.14285714285714285,0.17163614802921776,0.9914279555867511
Aegithina tiphia,5,20,5,19,9542,autogluon,0.9906728149234961,0.21238938053097345,0.164611959104256,0.9919087859310146
Aegithina tiphia,25,100,25,19,9542,linear_probe,0.9713896457765667,0.12218649517684887,0.23224462833468937,0.9927709644793492
Aegithina tiphia,25,100,25,19,9542,autogluon,0.9837560259903584,0.17989417989417988,0.2430279284194934,0.9912234645208
Aegithina viridissima,5,20,5,268,9542,linear_probe,0.9310417103332634,0.2847826086956522,0.30794801593464394,0.9023936281499554
Aegithina viridissima,5,20,5,268,9542,autogluon,0.97264724376441,0.05776173285198556,0.26450110499065405,0.898403979670335
Aegithina viridissima,25,100,25,268,9542,linear_probe,0.8278138754977992,0.2187351402757965,0.3312790422456318,0.9247406487081522
Aegithina viridissima,25,100,25,268,9542,autogluon,0.9741144414168937,0.3413333333333333,0.3917089747547013,0.9360855577621918
Aegithina viridissima,100,400,100,268,9542,linear_probe,0.9397400964158458,0.45081184336198665,0.5107660997077573,0.9700410230495141
Aegithina viridissima,100,400,100,268,9542,autogluon,0.9310417103332634,0.41975308641975306,0.5295888107822511,0.9692065604691659
Aethopyga siparaja,5,20,5,77,9542,linear_probe,0.9729616432613708,0.34517766497461927,0.3323654930427695,0.9857163438779921
Aethopyga siparaja,5,20,5,77,9542,autogluon,0.9913016139174178,0.16161616161616163,0.29180074072261947,0.9773087451375883
Aethopyga siparaja,25,100,25,77,9542,linear_probe,0.9605952630475791,0.2796934865900383,0.40623973164125565,0.987925439589465
Aethopyga siparaja,25,100,25,77,9542,autogluon,0.9919304129113393,0.0,0.3450077696656476,0.9777553666618642
Aethopyga siparaja,100,400,100,77,9542,linear_probe,0.9762104380632991,0.40105540897097625,0.5350001039291342,0.9940848375079754
Aethopyga siparaja,100,400,100,77,9542,autogluon,0.9635296583525467,0.30677290836653387,0.5481425637953861,0.9938255088809763
Alauda arvensis,5,20,5,72,9542,linear_probe,0.982812827499476,0.3787878787878788,0.4032918542283528,0.9883066408541593
Alauda arvensis,5,20,5,72,9542,autogluon,0.9924544120729407,0.0,0.18990320442804354,0.9337227208729321
Alauda arvensis,25,100,25,72,9542,linear_probe,0.9681408509746384,0.3153153153153153,0.5294440398815995,0.9941335210606593
Alauda arvensis,25,100,25,72,9542,autogluon,0.9917208132466988,0.5380116959064327,0.4945405780321185,0.9919849231491259
Alauda arvensis,100,400,100,72,9542,linear_probe,0.9775728358834626,0.39204545454545453,0.5924342257072178,0.9954666783996245
Alauda arvensis,100,400,100,72,9542,autogluon,0.9762104380632991,0.3881401617250674,0.6154813934994446,0.9965857092573038
Alectoris chukar,5,20,5,6,9542,linear_probe,0.8811569901488158,0.010471204188481676,0.24979863312772715,0.9819805648769575
Alectoris chukar,5,20,5,6,9542,autogluon,0.9992664011737581,0.2222222222222222,0.14850588781428847,0.9796385626398211
Alectoris rufa,5,20,5,8,9542,linear_probe,0.985956822469084,0.0821917808219178,0.5706684525393412,0.9121958254667505
Alectoris rufa,5,20,5,8,9542,autogluon,0.999580800670719,0.6666666666666666,0.5248193882190839,0.8996617369414727
Alectoris rufa,25,100,25,8,9542,linear_probe,0.9748480402431356,0.047619047619047616,0.6625495973153529,0.9182006503041745
Alectoris rufa,25,100,25,8,9542,autogluon,0.943722490044016,0.02185792349726776,0.3911111542789535,0.9534036081392909
Alophoixus ochraceus,5,20,5,30,9542,linear_probe,0.9829176273317962,0.2488479262672811,0.432380842157503,0.9937272217549762
Alophoixus ochraceus,5,20,5,30,9542,autogluon,0.9942360092223852,0.3037974683544304,0.29403326891371395,0.9876909868236613
Alophoixus ochraceus,25,100,25,30,9542,linear_probe,0.9795640326975477,0.22310756972111553,0.5264550876138796,0.9955775161199888
Alophoixus ochraceus,25,100,25,30,9542,autogluon,0.9900440159295745,0.3448275862068966,0.46613602130663184,0.9943299691617605
Alophoixus ochraceus,100,400,100,30,9542,linear_probe,0.9835464263257179,0.26976744186046514,0.7796261939790398,0.9975399495374264
Alophoixus ochraceus,100,400,100,30,9542,autogluon,0.9784112345420247,0.2196969696969697,0.781940369495373,0.9971614802354921
Amazona amazonica,5,20,5,8,9542,linear_probe,0.9831272269964368,0.0903954802259887,0.14597948131424882,0.99668292427103
Amazona amazonica,5,20,5,8,9542,autogluon,0.9979040033535946,0.2857142857142857,0.20819590599002366,0.9967091462135516
Anabacerthia lichtensteini,5,20,5,5,9542,linear_probe,0.9700272479564033,0.033783783783783786,0.13329264798578877,0.9912760826255635
Anabacerthia lichtensteini,5,20,5,5,9542,autogluon,0.9993712010060783,0.4,0.2542857142857143,0.9876481073712907
