target_pos,model,mAP,macro_AUROC,n_species
5,autogluon,0.3628589691549386,0.9709851502472158,455
5,linear_probe,0.4394403709451214,0.9812464195042421,455
25,autogluon,0.48928136900481717,0.9844138344734067,300
25,linear_probe,0.5158918731752583,0.9871752875364254,300
100,autogluon,0.6266199904459224,0.9885139652867995,147
100,linear_probe,0.6448846816171703,0.9897159837253203,147
