frac,autogluon,linear_probe,delta_macro_f1_ag_minus_lp
0.1,0.681009986849742,0.7794475667122315,-0.09843757986248947
0.25,0.7955639640974465,0.8586415356353241,-0.06307757153787763
0.5,0.8309678564333263,0.8871047732173079,-0.05613691678398158
1.0,0.8880189413738527,0.9072122763852648,-0.01919333501141207
